"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2014- 10- 08","121,500","118,500","123,000","117,000","182.54K","2.10%"
"2014- 10- 07","119,000","117,500","120,500","116,500","133.85K","1.28%"
"2014- 10- 06","117,500","118,500","120,000","115,000","120.24K","-1.67%"
"2014- 10- 05","119,500","119,500","119,500","119,500","","0.00%"
"2014- 10- 02","119,500","116,500","121,000","116,000","216.28K","2.14%"
"2014- 10- 01","117,000","115,000","118,500","113,000","220.60K","1.74%"
"2014- 09- 30","115,000","123,000","123,500","114,500","425.65K","-7.26%"
"2014- 09- 29","124,000","123,000","124,000","120,000","102.18K","1.22%"
"2014- 09- 28","122,500","122,500","122,500","122,500","","0.00%"
"2014- 09- 26","122,500","124,500","124,500","117,500","395.08K","-3.16%"
"2014- 09- 25","126,500","126,000","126,500","123,500","75.38K","0.80%"
"2014- 09- 24","125,500","123,500","126,000","122,500","97.43K","1.62%"
"2014- 09- 23","123,500","120,500","124,500","120,500","101.60K","1.65%"
"2014- 09- 22","121,500","123,000","123,500","120,000","102.89K","-1.62%"
"2014- 09- 21","123,500","123,500","123,500","123,500","","0.00%"
"2014- 09- 19","123,500","120,500","123,500","120,000","234.60K","3.35%"
"2014- 09- 18","119,500","125,500","126,000","119,000","323.80K","-4.02%"
"2014- 09- 17","124,500","128,500","130,000","124,000","154.13K","-3.49%"
"2014- 09- 16","129,000","128,500","130,500","127,000","92.78K","0.78%"
"2014- 09- 15","128,000","132,500","133,500","126,500","124.27K","-4.12%"
"2014- 09- 14","133,500","133,500","133,500","133,500","","0.00%"
"2014- 09- 12","133,500","135,500","135,500","131,000","60.97K","-0.37%"
"2014- 09- 11","134,000","131,500","135,000","130,500","142.38K","4.28%"
"2014- 09- 10","128,500","128,500","128,500","128,500","","0.00%"
"2014- 09- 05","128,500","129,500","131,000","128,500","58.89K","-0.77%"
"2014- 09- 04","129,500","130,000","132,500","127,500","155.11K","-1.15%"
"2014- 09- 03","131,000","138,000","138,000","131,000","217.50K","-4.73%"
"2014- 09- 02","137,500","137,000","139,000","136,000","83.06K","0.00%"
"2014- 09- 01","137,500","134,000","138,000","134,000","116.31K","2.23%"
"2014- 08- 29","134,500","134,000","135,500","132,000","153.82K","1.89%"
"2014- 08- 28","132,000","136,000","137,500","131,000","162.17K","-4.35%"
"2014- 08- 27","138,000","135,000","139,500","133,000","155.60K","3.76%"
"2014- 08- 26","133,000","132,000","134,000","128,000","154.01K","1.53%"
"2014- 08- 25","131,000","133,000","134,500","129,500","95.49K","-1.87%"
"2014- 08- 24","133,500","133,500","133,500","133,500","","0.00%"
"2014- 08- 22","133,500","135,000","136,500","131,500","106.96K","-1.84%"
"2014- 08- 21","136,000","136,500","136,500","133,500","111.60K","-0.37%"
"2014- 08- 20","136,500","137,500","139,000","134,000","175.63K","0.37%"
"2014- 08- 19","136,000","140,000","140,500","136,000","119.10K","-2.51%"
"2014- 08- 18","139,500","143,000","143,000","138,500","78.74K","-0.71%"
"2014- 08- 17","140,500","140,500","140,500","140,500","","0.00%"
"2014- 08- 14","140,500","142,500","144,000","137,000","159.88K","-1.75%"
"2014- 08- 13","143,000","142,500","143,000","139,000","183.79K","0.70%"
"2014- 08- 12","142,000","142,000","142,500","138,000","192.92K","0.00%"
"2014- 08- 11","142,000","138,500","144,500","138,000","309.16K","4.41%"
"2014- 08- 08","136,000","134,000","138,000","133,500","315.85K","3.03%"
"2014- 08- 07","132,000","128,000","132,000","126,000","130.18K","3.13%"
"2014- 08- 06","128,000","129,000","132,000","125,500","134.19K","-1.54%"
"2014- 08- 05","130,000","131,500","131,500","128,000","123.86K","-1.52%"
"2014- 08- 04","132,000","128,000","132,000","127,000","138.96K","3.53%"
"2014- 08- 01","127,500","124,000","130,000","124,000","156.62K","1.19%"
"2014- 07- 31","126,000","127,500","130,000","121,000","266.14K","-0.79%"
"2014- 07- 30","127,000","124,500","130,000","123,500","269.48K","2.83%"
"2014- 07- 29","123,500","128,500","129,000","123,000","490.11K","-4.26%"
"2014- 07- 28","129,000","136,000","137,000","128,500","304.57K","-5.15%"
"2014- 07- 27","136,000","136,000","136,000","136,000","","0.00%"
"2014- 07- 25","136,000","139,500","139,500","135,000","184.26K","-2.51%"
"2014- 07- 24","139,500","139,000","141,500","136,000","165.77K","0.72%"
"2014- 07- 23","138,500","140,000","140,500","137,000","77.23K","-0.72%"
"2014- 07- 22","139,500","137,500","139,500","137,000","86.96K","0.72%"
"2014- 07- 21","138,500","141,500","142,000","136,000","87.14K","-1.42%"
"2014- 07- 20","140,500","140,500","140,500","140,500","","0.00%"
"2014- 07- 18","140,500","138,000","141,500","137,500","111.96K","1.08%"
"2014- 07- 17","139,000","141,000","144,000","137,000","116.65K","-0.36%"
"2014- 07- 16","139,500","139,000","141,000","132,500","279.92K","-0.71%"
"2014- 07- 15","140,500","147,000","147,000","140,500","130.04K","-3.77%"
"2014- 07- 14","146,000","138,500","146,000","138,000","157.09K","5.04%"
"2014- 07- 13","139,000","139,000","139,000","139,000","","0.00%"
"2014- 07- 11","139,000","141,000","141,500","138,000","196.70K","-2.11%"
"2014- 07- 10","142,000","146,500","147,500","139,500","228.95K","-3.07%"
"2014- 07- 09","146,500","148,500","149,000","144,000","162.23K","-2.33%"
"2014- 07- 08","150,000","149,000","151,000","148,000","102.75K","1.69%"
"2014- 07- 07","147,500","149,000","149,000","147,000","59.94K","-0.34%"
"2014- 07- 04","148,000","149,000","150,500","148,000","84.92K","-0.34%"
"2014- 07- 03","148,500","145,000","149,000","144,000","135.54K","2.41%"
"2014- 07- 02","145,000","145,500","146,500","144,000","97.51K","0.69%"
"2014- 07- 01","144,000","145,000","146,500","142,500","88.34K","-0.69%"
"2014- 06- 30","145,000","143,000","146,000","141,500","107.12K","1.40%"
"2014- 06- 29","143,000","143,000","143,000","143,000","","0.00%"
"2014- 06- 27","143,000","147,500","149,000","142,500","123.27K","-2.39%"
"2014- 06- 26","146,500","147,000","150,000","145,000","134.33K","0.34%"
"2014- 06- 25","146,000","143,500","147,500","142,500","122.56K","1.74%"
"2014- 06- 24","143,500","142,500","144,500","141,500","107.48K","0.70%"
"2014- 06- 23","142,500","140,000","144,000","139,500","131.04K","2.89%"
"2014- 06- 22","138,500","138,500","138,500","138,500","","0.00%"
"2014- 06- 20","138,500","139,500","141,000","138,500","114.44K","-1.77%"
"2014- 06- 19","141,000","143,000","144,500","138,500","219.89K","-1.40%"
"2014- 06- 18","143,000","143,000","145,000","141,500","119.23K","-0.35%"
"2014- 06- 17","143,500","138,000","145,000","138,000","201.62K","3.99%"
"2014- 06- 16","138,000","138,500","139,000","136,000","86.07K","0.00%"
"2014- 06- 15","138,000","138,000","138,000","138,000","","0.00%"
"2014- 06- 13","138,000","133,000","139,000","133,000","145.96K","2.60%"
"2014- 06- 12","134,500","133,500","134,500","131,500","87.85K","0.00%"
"2014- 06- 11","134,500","135,000","139,000","133,000","173.96K","0.37%"
"2014- 06- 10","134,000","126,500","135,000","126,500","211.49K","7.63%"
"2014- 06- 09","124,500","128,500","130,000","124,500","101.13K","-2.73%"
"2014- 06- 08","128,000","128,000","128,000","128,000","","0.00%"
"2014- 06- 05","128,000","125,500","129,000","125,000","97.45K","1.19%"
"2014- 06- 03","126,500","126,500","129,000","124,500","96.31K","-1.56%"
"2014- 06- 02","128,500","128,000","129,500","124,000","129.99K","0.78%"
