,회사명,거래소코드,회계년도,기업생명주기
213,참엔지니어링(주),009310,2014,3
217,(주)포스코엠텍,009520,2014,4
205,동양철관(주),008970,2014,0
166,보성파워텍(주),006910,2014,3
214,(주)태영건설,009410,2014,3
151,지에스건설(주),006360,2014,1
125,에스지씨에너지(주),005090,2014,1
1105,(주)하이소닉,106080,2014,0
1205,(주)피엔티,137400,2015,0
720,파나케이아(주),058530,2015,0
55,아세아제지(주),002310,2015,3
136,한일사료(주),005860,2015,0
256,태림포장(주),011280,2015,1
582,(주)토탈소프트뱅크,045340,2015,4
580,(주)에이치케이,044780,2015,1
1230,(주)모다,149940,2015,3
25,신라섬유(주),001000,2015,0
1148,(주)골프존뉴딘홀딩스,121440,2015,4
107,고려개발(주),004200,2015,2
64,신일전자(주),002700,2015,4
1147,아이텍(주),119830,2015,3
325,(주)대림제지,017650,2015,2
982,유비벨록스(주),089850,2015,0
272,한화에어로스페이스(주),012450,2015,4
542,(주)에스텍파마,041910,2015,3
120,신라교역(주),004970,2015,4
111,깨끗한나라(주),004540,2015,1
611,(주)대동스틸,048470,2015,3
378,(주)케이씨피드,025880,2015,3
34,(주)에스지글로벌,001380,2015,1
215,삼화전기(주),009470,2015,2
938,비에이치아이(주),083650,2015,2
850,에이테크솔루션(주),071670,2015,2
219,한국조선해양(주),009540,2015,0
945,(주)티비에이치글로벌,084870,2015,0
839,(주)라이트론,069540,2015,3
114,(주)덕성,004830,2015,2
368,케이비아이메탈(주),024840,2015,3
2,(주)두산,000150,2015,0
645,(주)에스폴리텍,050760,2015,2
1178,(주)뉴로스,126870,2015,1
142,(주)국영지앤엠,006050,2015,1
636,(주)우진플라임,049800,2015,4
1253,(주)파이오링크,170790,2015,1
373,(주)시노펙스,025320,2015,1
376,신라에스지(주),025870,2015,2
619,(주)엔피케이,048830,2015,1
1243,(주)에스에이티,158300,2015,0
738,(주)레드로버,060300,2015,0
904,(주)케스피온,079190,2015,1
549,현대두산인프라코어(주),042670,2015,1
1202,(주)하림,136480,2015,1
472,두산에너빌리티(주),034020,2015,0
336,신풍제약(주),019170,2015,2
1117,(주)위메이드,112040,2015,3
455,(주)인성정보,033230,2015,3
311,태경산업(주),015890,2015,1
1015,다믈멀티미디어(주),093640,2015,1
1118,(주)에스에프씨,112240,2015,2
128,(주)한창,005110,2015,0
11,(주)대유플러스,000300,2015,0
319,신원종합개발(주),017000,2015,0
162,영풍제지(주),006740,2015,1
321,명문제약(주),017180,2015,0
424,(주)삼일,032280,2015,4
883,(주)동국알앤에스,075970,2015,3
1025,(주)푸른기술,094940,2015,3
1190,(주)대한과학,131220,2015,2
786,(주)비엘팜텍,065170,2015,1
902,한창산업(주),079170,2015,2
501,(주)이지,037370,2015,3
864,(주)율호,072770,2015,4
286,(주)아가방앤컴퍼니,013990,2015,2
771,현대로템(주),064350,2015,0
923,(주)옵트론텍,082210,2015,3
76,(주)혜인,003010,2015,2
997,(주)심팩메탈,090730,2015,3
495,(주)에스에프에이반도체,036540,2015,1
158,대양제지공업(주),006580,2015,1
399,삼성엔지니어링(주),028050,2015,3
402,(주)광무,029480,2015,4
801,(주)웰크론,065950,2016,0
1257,(주)에프엔씨엔터테인먼트,173940,2016,3
915,에스엔유프리시젼(주),080000,2016,0
14,(주)대동,000490,2016,1
820,도이치모터스(주),067990,2016,1
917,(주)제주반도체,080220,2016,2
691,(주)케이피티유,054410,2016,3
190,(주)대명소노시즌,007720,2016,1
827,(주)셀트리온제약,068760,2016,3
796,(주)녹원씨엔아이,065560,2016,0
891,(주)한컴지엠디,077280,2016,3
699,(주)키이스트,054780,2016,1
1194,알서포트(주),131370,2016,1
209,삼성전기(주),009150,2016,1
155,삼성SDI(주),006400,2016,4
195,태평양물산(주),007980,2016,2
782,(주)지엔코,065060,2016,0
910,(주)디이엔티,079810,2016,0
712,(주)와이비엠넷,057030,2016,3
778,(주)젬백스링크,064800,2016,0
814,하나마이크론(주),067310,2016,1
1255,엘티씨(주),170920,2016,0
1278,(주)에이팩트,200470,2016,3
765,(주)에프앤리퍼블릭,064090,2016,0
197,원풍물산(주),008290,2016,1
1192,(주)티에스이,131290,2016,2
679,오상자이엘(주),053980,2016,1
515,에스넷시스템(주),038680,2016,2
921,(주)휠라홀딩스,081660,2016,0
1209,(주)협진,138360,2016,3
1120,씨에스윈드(주),112610,2016,2
1000,(주)텔레필드,091440,2016,0
474,(주)에스비에스,034120,2016,0
1003,상신이디피(주),091580,2016,1
451,시그네틱스(주),033170,2016,1
315,(주)웅진,016880,2016,3
1044,(주)엠씨넥스,097520,2016,0
430,(주)피델릭스,032580,2016,1
1053,에스디엔(주),099220,2016,3
324,서울도시가스(주),017390,2016,2
327,(주)이원,017940,2016,2
411,동원수산(주),030720,2016,1
401,삼성물산(주),028260,2016,1
387,광진실업(주),026910,2016,2
347,일진디스플레이(주),020760,2016,3
384,(주)특수건설,026150,2016,3
121,(주)휴스틸,005010,2016,0
1091,일진전기(주),103590,2016,4
1215,(주)대창스틸,140520,2016,1
993,(주)비에이치,090460,2016,1
498,세종텔레콤(주),036630,2016,1
963,(주)비엠티,086670,2016,2
599,(주)대우건설,047040,2016,1
134,(주)신한,005450,2016,0
525,에이아이비트(주),039230,2016,4
956,(주)뉴프렉스,085670,2016,2
646,(주)쏠리드,050890,2016,0
640,(주)캠시스,050110,2016,2
1235,(주)파수,150900,2016,0
992,(주)덕신하우징,090410,2016,0
1199,(주)두산테스나,131970,2016,2
977,(주)에이티세미콘,089530,2016,3
618,(주)티피씨메카트로닉스,048770,2016,0
623,(주)기가레인,049080,2016,0
576,(주)위닉스,044340,2016,2
1183,제이엔케이히터(주),126880,2017,3
867,메가스터디(주),072870,2017,3
861,유엔젤(주),072130,2017,4
953,(주)차바이오텍,085660,2017,1
1170,코리아에프티(주),123410,2017,1
1085,(주)동성케미컬,102260,2017,2
1254,(주)파이오링크,170790,2017,2
1069,에스비에스미디어홀딩스(주),101060,2017,2
1072,우림피티에스(주),101170,2017,1
971,(주)이녹스,088390,2017,0
1284,(주)덱스터스튜디오,206560,2017,0
886,(주)웰크론한텍,076080,2017,1
1280,(주)에이디테크놀로지,200710,2017,1
1206,(주)넥스트아이,137940,2017,0
894,한양디지텍(주),078350,2017,2
973,(주)에이스테크놀로지,088800,2017,0
906,엘아이지넥스원(주),079550,2017,0
1200,메가엠디(주),133750,2017,3
905,(주)케스피온,079190,2017,2
1266,(주)나무가,190510,2017,3
1214,(주)엘아이에스,138690,2017,0
998,(주)연이비앤티,090740,2017,1
1138,(주)씨유메디칼시스템,115480,2017,2
1239,(주)솔루에타,154040,2017,3
1099,(주)케이엔더블유,105330,2017,3
610,현대바이오사이언스(주),048410,2017,4
843,한솔인티큐브(주),070590,2017,3
106,한솔홀딩스(주),004150,2017,2
669,(주)바이넥스,053030,2017,1
129,(주)국동,005320,2017,0
625,(주)파인디앤씨,049120,2017,0
614,(주)인트론바이오테크놀로지,048530,2017,0
149,대원전선(주),006340,2017,3
358,(주)인팩,023810,2017,0
183,영신금속공업(주),007530,2017,0
597,(주)우리로,046970,2017,1
559,(주)에쎈테크,043340,2017,3
558,케이맥(주),043290,2017,4
547,(주)새로닉스,042600,2017,0
538,(주)이라이콤,041520,2017,3
523,(주)오스코텍,039200,2017,3
257,태림포장(주),011280,2017,3
461,(주)좋은사람들,033340,2017,2
447,제룡전기(주),033100,2017,2
440,(주)원익,032940,2017,1
434,(주)판타지오,032800,2017,0
431,(주)소프트센,032680,2017,1
423,(주)아즈텍더블유비이,032080,2017,1
289,대영포장(주),014160,2017,1
400,삼성엔지니어링(주),028050,2017,0
396,세하(주),027970,2017,0
370,경창산업(주),024910,2017,1
294,(주)부방,014470,2017,2
310,일진홀딩스(주),015860,2017,1
102,(주)에스지세계물산,004060,2017,1
672,(주)세코닉스,053450,2017,1
607,한국항공우주산업(주),047810,2017,1
49,한국수출포장공업(주),002200,2017,0
35,(주)에스지글로벌,001380,2017,3
58,(주)한독,002390,2017,1
26,신라섬유(주),001000,2017,3
59,(주)삼익악기,002450,2017,1
734,(주)룽투코리아,060240,2017,0
42,(주)신화다이나믹스,001770,2017,2
69,신풍,002870,2017,1
88,SNT중공업(주),003570,2017,2
799,(주)파커스,065690,2017,0
12,조선내화(주),000480,2017,1
77,(주)혜인,003010,2017,3
79,성보화학(주),003080,2017,2
807,(주)손오공,066910,2017,4
684,(주)삼진엘앤디,054090,2017,2
792,(주)빅텍,065450,2017,2
790,(주)이루온,065440,2017,2
284,(주)스페코,013810,2018,3
24,(주)유니온,000910,2018,0
1134,(주)우리넷,115440,2018,0
1133,(주)휴맥스,115160,2018,2
1131,케이피엑스라이프사이언스(주),114450,2018,2
