,회사명,거래소코드,회계년도,회생여부,이자보상배율(이자비용)
127,삼성제약(주),001360,2014.0,0,-13.34
128,삼성제약(주),001360,2015.0,0,-0.62
129,삼성제약(주),001360,2016.0,0,-2.74
130,삼성제약(주),001360,2017.0,0,-2.66
131,삼성제약(주),001360,2018.0,0,-3.53
132,(주)에스지글로벌,001380,2012.0,1,-3.59
133,(주)에스지글로벌,001380,2014.0,0,0.51
134,(주)에스지글로벌,001380,2015.0,1,-2.56
135,(주)에스지글로벌,001380,2017.0,1,-0.99
136,대한전선(주),001440,2011.0,0,-0.15
137,대한전선(주),001440,2012.0,0,-0.43
138,대한전선(주),001440,2013.0,0,-1.69
139,대한전선(주),001440,2014.0,0,0.24
140,대한전선(주),001440,2015.0,1,0.5
141,삼부토건(주),001470,2011.0,0,-4.42
142,삼부토건(주),001470,2012.0,0,-0.45
143,삼부토건(주),001470,2013.0,0,-0.37
144,삼부토건(주),001470,2014.0,0,-1.05
145,삼부토건(주),001470,2015.0,0,-0.67
146,삼부토건(주),001470,2016.0,0,-9.25
147,삼부토건(주),001470,2017.0,0,-9.69
148,삼부토건(주),001470,2018.0,1,-4.87
149,(주)동양,001520,2011.0,0,-0.13
150,(주)동양,001520,2012.0,0,0.34
151,(주)동양,001520,2013.0,0,-0.12
152,(주)동양,001520,2014.0,1,0.48
153,디아이동일(주),001530,2012.0,1,-0.14
154,(주)조비,001550,2011.0,0,-2.7
155,(주)조비,001550,2012.0,1,-0.69
156,(주)조비,001550,2014.0,1,0.44
157,케이비아이동국실업(주),001620,2014.0,1,0.3
158,케이비아이동국실업(주),001620,2017.0,0,-5.38
159,케이비아이동국실업(주),001620,2018.0,0,-1.68
160,(주)신화다이나믹스,001770,2013.0,1,-0.56
161,(주)신화다이나믹스,001770,2016.0,0,0.99
162,(주)신화다이나믹스,001770,2017.0,1,-3.14
163,(주)알루코,001780,2011.0,0,0.99
164,(주)알루코,001780,2012.0,1,0.39
165,(주)알루코,001780,2018.0,0,0.66
166,삼화콘덴서공업(주),001820,2014.0,1,-4.66
167,이화공영(주),001840,2018.0,1,0.7
168,디엘건설(주),001880,2011.0,0,-0.92
169,디엘건설(주),001880,2012.0,1,0.66
170,KISCO홀딩스(주),001940,2011.0,1,-24.34
171,한국유리공업(주),002000,2012.0,0,-22.94
172,한국유리공업(주),002000,2013.0,1,-14.32
173,(주)코오롱,002020,2012.0,0,0.42
174,(주)코오롱,002020,2013.0,0,0.73
175,(주)코오롱,002020,2014.0,0,0.8
176,(주)코오롱,002020,2015.0,1,0.63
177,(주)비비안,002070,2012.0,0,-0.74
178,(주)비비안,002070,2013.0,0,-3.13
179,(주)비비안,002070,2014.0,0,-8.39
180,(주)비비안,002070,2015.0,0,-8.87
181,(주)비비안,002070,2016.0,0,-3.86
182,(주)비비안,002070,2017.0,0,-2.59
183,(주)비비안,002070,2018.0,0,-7.86
184,(주)도화엔지니어링,002150,2012.0,1,0.32
185,(주)도화엔지니어링,002150,2014.0,1,0.97
186,한국수출포장공업(주),002200,2017.0,1,-10.75
187,동성제약(주),002210,2013.0,0,-1.08
188,동성제약(주),002210,2014.0,0,-1.17
189,동성제약(주),002210,2015.0,0,0.84
190,동성제약(주),002210,2016.0,0,-1.64
191,동성제약(주),002210,2017.0,0,0.65
192,동성제약(주),002210,2018.0,0,-1.07
193,한일철강(주),002220,2011.0,0,0.87
194,한일철강(주),002220,2012.0,0,0.84
195,한일철강(주),002220,2013.0,0,0.53
196,한일철강(주),002220,2014.0,0,-0.55
197,한일철강(주),002220,2015.0,1,-1.82
198,한일철강(주),002220,2018.0,0,-0.55
199,피에스텍(주),002230,2012.0,1,-1.31
200,피에스텍(주),002230,2018.0,0,-7.76
201,알보젠코리아(주),002250,2012.0,1,-5.22
202,알보젠코리아(주),002250,2014.0,1,-17.56
203,아세아제지(주),002310,2015.0,1,-0.2
204,(주)한진,002320,2016.0,0,-0.23
205,(주)한진,002320,2017.0,0,0.35
206,(주)한진,002320,2018.0,0,0.77
207,(주)한독,002390,2017.0,1,-0.33
208,범양건영(주),002410,2011.0,0,-7.85
209,범양건영(주),002410,2012.0,0,-4.02
210,범양건영(주),002410,2013.0,0,-2.27
211,범양건영(주),002410,2014.0,0,-21.67
212,범양건영(주),002410,2015.0,0,0.32
