,회사명,거래소코드,회계년도,회생여부,이자보상배율(이자비용),부가가치(백만원),금융비용(백만원),매출액총이익률,매출액순이익률,총자본사업이익률,총자본순이익률,자기자본순이익률,경영자본순이익률,자본금순이익률,매출원가대매출액비율,영업비용대영업수익비율,금융손익비율,금융비용부담률,기업순이익률,인건비대총비용비율,금융비용대총비용비율,이자부담률,지급이자율,차입금평균이자율,유보율,유동자산구성비율,재고자산대유동자산비율,유동자산대비유동자산비율,자기자본구성비율,타인자본구성비율,자기자본배율,유동비율,현금비율,매출채권비율,매입채무대재고자산비율,순운전자본비율,차입금의존도,차입금비율,총자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,당좌자산회전률,재고자산회전률,매출채권회전률,비유동자산회전률,유형자산회전율,순운전자본회전률,사내유보대자기자본비율,자기자본배당률,배당성향,이익잉여금(결손금)(요약)(백만원),비유동금융부채(요약)(백만원),유동금융부채(요약)(백만원),외국인_주식분포비율,장기금융부채(백만원),자산대비자본비율,총자본증가율,유형자산증가율,비유동자산(백만원),재고자산증가율,자기자본증가율,매출액증가율,순이익증가율,종업원수증가율,자산대비_장기금융부채비율,투자활동현금흐름증감률_여부,직원증감률_여부,매출원가증감률_여부,자산매각_여부,배당금증감률_여부,자본증가률_여부,차입_여부,사내유보금보유_여부,운용적범주전략(OPS)변수,재무적범주전략(FIN)변수,배당금지급_여부,LEV지수,KZ지수,WW지수,CL지수,NCAV지수,기업생명주기,순매수거래량_기관,순매수거래대금 비중_기관,순매수거래량_외국인,순매수거래대금 비중_외국인
10,(주)대유플러스,000300,2014,0,0.21,68757.45,2443.69,7.58,-0.77,0.16,-0.57,-7.53,-1.07,-17.25,92.42,99.88,-0.48,0.49,-0.21,7.31,0.48,0.43,3.72,4.52,122.56,31.25,18.79,104.97,15.13,84.87,222.56,118.13,8.13,143.92,264.61,4.8,11.12,73.46,0.75,4.67,11.45,0.89,5.1,2.79,15.22,8.74,2.55,3.89,1.33,-5.25,0.0,0.0,-14014.0,465.0,0.0,4.16,26990.0,15.134627984677017,10.54566445414,16.71448162138969,485851.0,69.79047307251595,-0.7894248608534323,18.434948458718583,-152.99684542586752,-68.389662027833,0.038194242985575624,0,0,1,1,1,1,1,0,1,1,0,0.027503556337713647,-39149897640.763535,-1634400857.191992,94578390843.70418,-3.495784926477459,1,83488.0,0.0001953829220749,-2305090.0,-0.0042488586354738
11,(주)대유플러스,000300,2015,1,0.38,74758.59,3205.67,8.68,-0.03,0.28,-0.02,-8.36,-0.05,-18.01,91.32,99.71,-0.66,0.65,0.41,7.81,0.64,0.5,4.39,4.61,108.18,24.96,15.53,95.33,13.59,86.41,208.18,120.22,3.76,130.65,250.9,4.2,11.09,81.62,0.66,4.64,11.25,0.78,5.33,2.88,13.79,9.97,2.38,3.64,1.29,-5.31,0.0,0.0,-22416.0,465.0,0.0,1.85,24803.0,13.587865468748406,11.01264980874576,-3.5205582146358343,612974.0,-26.71969149192577,-0.3328689375309727,-1.1872706726006947,-95.52277432712215,9.433962264150944,0.031617444599679786,0,1,1,1,1,1,1,0,1,1,0,0.022654962108006774,-26060444818.93042,1078145554.4915566,60383374465.10045,-4.828957240913886,0,11241.0,1.410016705057021e-05,1123015.0,0.0019267350825689
12,조선내화(주),000480,2017,1,-0.64,171134.01,-994.82,9.96,3.27,0.28,2.3,2.5,3.15,68.63,90.04,100.46,2.39,-0.14,2.2,15.42,-0.14,-0.29,3.61,3.79,2723.46,35.37,42.72,54.72,65.41,34.59,2786.49,122.18,10.14,70.23,45.35,6.42,13.76,21.04,0.71,1.08,34.72,2.04,9.85,3.22,5.09,5.46,1.1,1.89,1.09,2.44,2.33,112.09,439082.0,26390.0,30546.0,3.09,924.0,65.41242922021645,2.9889943167880473,1.5954990710100154,645821.0,24.062325367344926,3.062785204527321,-2.8223932820153954,-1.4327719860999732,3.052064631956912,0.0009247157299750007,1,1,1,1,0,1,1,0,1,1,1,0.0,-424622710728.1005,-3121546275.986634,-35778456925.298096,0.022376578645235363,1,1387.0,7.46411028549081e-05,2737.0,0.0001397636879155
13,(주)대동,000490,2015,0,0.81,112528.03,5676.53,22.51,0.61,0.92,0.51,1.47,0.54,14.05,77.49,99.07,-1.12,0.97,1.32,13.06,0.95,1.22,2.78,2.86,884.67,55.63,61.84,125.36,33.87,66.13,959.96,117.77,3.44,49.91,42.57,8.39,34.94,103.16,0.84,2.52,24.59,1.25,5.08,3.24,2.76,3.81,1.9,2.34,0.79,74.17,0.5,0.0,197938.0,0.0,4.0,1.82,78409.0,33.87012647377177,-2.6484773907016876,-1.7201242620944996,305417.0,27.23491159241146,1.18317512814837,-3.276484571595291,-29.26244253447931,1.7135862913096693,0.11391937932687768,0,1,1,0,0,1,1,0,1,1,1,0.07617692150487763,-109973520339.28159,-539765386.2531235,76901068238.14584,-0.3322568543684823,1,-3404.0,-3.29964468290558e-05,-98842.0,-0.0006766486199244
14,(주)대동,000490,2016,1,-1.84,88111.66,6200.99,20.71,-3.07,-1.79,-2.65,-8.19,-2.87,-75.52,79.29,102.22,-1.59,1.06,-1.74,12.65,1.01,1.37,2.71,2.82,809.6,55.75,57.54,125.98,32.25,67.75,884.89,107.95,2.07,64.15,37.51,4.1,39.04,121.06,0.86,2.61,24.67,1.29,6.47,3.85,2.6,4.58,1.95,2.42,0.82,71.87,0.45,0.0,180121.0,0.0,5.0,1.65,57769.0,32.245629601208606,-3.061086613830027,-4.217934000549726,295255.0,-9.600162199150144,-7.710521913324725,0.332663208066183,-607.8553263633795,-4.9338146811071,0.08658215630320616,0,1,1,0,0,1,1,0,1,1,1,0.031565417865257524,-69662309029.83522,518809705.7385618,168225296935.6434,-0.47216525661380965,1,-2546.0,-1.651700127103993e-05,75176.0,0.0005365073037817
15,(주)대동,000490,2018,1,0.5,128100.52,8739.64,19.1,0.22,0.92,0.19,0.58,0.21,5.19,80.9,99.2,-1.44,1.33,1.36,14.26,1.31,1.64,3.01,3.31,817.85,57.95,48.92,137.82,28.15,71.85,893.14,103.95,3.43,90.44,43.25,2.2,44.96,159.72,0.87,3.0,27.59,1.23,6.63,2.89,3.03,3.39,2.12,2.57,0.75,71.77,0.57,0.0,184837.0,2268.0,171.0,2.52,67712.0,28.147950672756,5.760950198870558,13.153905425551518,324916.0,2.7193533565259793,-0.6368262843881626,7.319583742417264,-85.14459665144597,6.608478802992519,0.08762845906069104,1,1,1,0,0,1,1,0,1,1,1,0.0439771345691756,-104574256532.00058,281268820.4236867,60989048477.4535,-0.8738926086673767,1,-401473.0,-0.0037712422516734,56838.0,-6.845856891331483e-05
16,삼일제약(주),000520,2017,0,0.74,27882.17,1708.92,44.44,-1.38,1.16,-1.07,-2.43,-1.13,-23.03,55.56,98.58,-2.08,1.86,0.37,24.94,1.83,2.58,2.89,3.87,876.96,38.5,31.57,62.6,37.77,62.23,930.31,99.52,1.89,199.25,54.74,-0.19,45.17,119.61,0.78,1.77,16.73,1.39,12.29,2.29,6.62,2.89,1.43,1.66,0.9,2.36,1.5,0.0,48229.0,0.0,37.0,2.02,29768.0,37.76803442650782,34.14228427149859,83.33035828126992,83317.0,45.22843535014994,-3.2229388511660453,-4.878149610368135,-242.84103720405864,4.960835509138381,0.2197273337909756,1,1,1,1,1,1,1,0,1,1,1,0.20575347685273385,-234454565802.79425,1591331669.0160708,209951219957.15085,-0.6852818927848237,1,-8987.0,-9.30072381683786e-05,-18070.0,-0.0012575827845508
17,삼일제약(주),000520,2018,1,-2.39,22677.5,2312.94,36.78,-9.05,-3.99,-6.04,-15.97,-6.68,-142.71,63.22,106.06,-2.52,2.44,-4.41,24.06,2.24,2.63,3.59,3.74,802.28,40.0,40.34,66.68,37.91,62.09,862.82,69.37,3.5,97.6,38.68,-17.67,45.09,118.95,0.67,1.76,15.77,1.07,10.37,2.66,4.69,3.37,1.1,1.41,0.76,1.38,1.09,0.0,36468.0,0.0,74.0,2.61,3473.0,37.90698145982737,9.20599068476568,-13.275284102763829,88765.0,45.01396817684927,9.607754998338773,2.7836328473022016,575.8484609313339,3.482587064676617,0.023474305334946502,0,1,1,1,0,1,1,0,1,1,1,0.0,-184089280840.10736,1574889652.0158901,331215676085.42,-0.24407766990291263,0,21004.0,0.000563938247789,-13705.0,-0.0021971131108557
18,(주)영풍,000670,2014,0,-2.84,518313.77,4131.19,3.54,3.6,-0.59,2.57,5.36,5.18,1390.8,96.46,101.05,-0.19,0.15,2.67,5.36,0.14,0.39,3.5,3.42,12614.33,22.27,33.05,28.65,74.76,25.24,12081.02,177.62,24.67,97.41,68.65,9.73,7.56,10.12,0.71,0.98,277.41,2.66,11.88,4.95,8.48,9.86,0.93,2.3,1.95,2.04,0.81,38.57,1189819.0,29351.0,118.0,2.03,68875.0,74.76187676764928,-1.1176614832869893,-8.060417064092034,3027945.0,-23.09440320230944,-20.286287038332325,-14.579291090367038,-80.36653674951548,5.043478260869565,0.01768130623200903,1,1,1,1,0,1,1,0,1,1,1,0.019454161463665912,-358465116481.0289,-3120847754.5910254,66380645801.05809,-0.06146327934562235,2,9741.0,0.0008761417876591,-654.0,3.282256997372861e-05
19,(주)영풍,000670,2015,0,-0.66,495327.61,2043.14,4.27,3.44,0.02,2.28,5.13,4.68,1390.8,95.73,100.21,-0.48,0.08,2.33,5.58,0.08,0.21,3.18,2.99,12614.33,24.79,34.66,32.97,75.31,24.69,12081.02,201.83,34.27,79.38,62.18,12.51,6.55,8.7,0.66,0.88,277.41,2.66,12.76,4.26,8.31,9.49,0.87,2.39,1.85,3.53,1.02,28.9,1189819.0,29351.0,97.0,2.05,61217.0,75.31410109812512,2.3754177088261743,-12.358519765863662,2999095.0,19.548859065553582,-20.286287038332325,-6.47552324020041,-80.36653674951548,6.291390728476822,0.015350732016546102,0,1,1,1,0,1,1,0,1,1,1,0.016821205217614627,-371137885781.8015,-3101537086.829483,74323377401.11609,0.002309195745273851,2,-3799.0,-0.0002177183035247,11070.0,0.0009842659410977
