"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016- 05- 30","4,820","4,735","4,985","4,735","978.21K","2.12%"
"2016- 05- 29","4,720","4,720","4,720","4,720","","0.00%"
"2016- 05- 27","4,720","4,595","4,795","4,570","721.33K","4.08%"
"2016- 05- 26","4,535","4,470","4,595","4,400","294.29K","-0.44%"
"2016- 05- 25","4,555","4,595","4,725","4,525","517.05K","0.33%"
"2016- 05- 24","4,540","4,515","4,640","4,435","391.99K","-1.30%"
"2016- 05- 23","4,600","4,710","4,850","4,570","1.21M","-0.65%"
"2016- 05- 20","4,630","4,420","4,680","4,400","495.37K","5.23%"
"2016- 05- 19","4,400","4,445","4,635","4,350","645.93K","-0.68%"
"2016- 05- 18","4,430","4,685","4,690","4,375","556.72K","-5.44%"
"2016- 05- 17","4,685","4,540","4,730","4,480","660.39K","0.86%"
"2016- 05- 16","4,645","4,875","4,875","4,550","713.08K","-4.72%"
"2016- 05- 13","4,875","4,725","4,965","4,700","1.37M","2.42%"
"2016- 05- 12","4,760","4,495","5,100","4,455","4.30M","6.85%"
"2016- 05- 11","4,455","4,330","4,485","4,245","1.43M","3.01%"
"2016- 05- 10","4,325","4,105","4,375","4,075","1.79M","5.62%"
"2016- 05- 09","4,095","4,000","4,220","3,930","1.01M","4.33%"
"2016- 05- 04","3,925","4,010","4,040","3,910","235.29K","-2.12%"
"2016- 05- 03","4,010","3,950","4,030","3,915","205.83K","1.26%"
"2016- 05- 02","3,960","4,180","4,180","3,945","447.17K","-4.35%"
"2016- 04- 29","4,140","4,125","4,190","4,100","280.55K","0.61%"
"2016- 04- 28","4,115","4,060","4,220","4,045","538.27K","0.24%"
"2016- 04- 27","4,105","4,035","4,155","4,010","361.96K","1.61%"
"2016- 04- 26","4,040","4,170","4,170","4,040","399.02K","-3.00%"
"2016- 04- 25","4,165","4,070","4,180","4,040","457.54K","2.59%"
"2016- 04- 24","4,060","4,060","4,060","4,060","","0.00%"
"2016- 04- 22","4,060","4,070","4,145","4,030","369.64K","0.00%"
"2016- 04- 21","4,060","4,040","4,095","4,015","293.97K","1.37%"
"2016- 04- 20","4,005","4,110","4,140","4,005","612.01K","-2.44%"
"2016- 04- 19","4,105","4,155","4,245","4,100","708.51K","-0.61%"
"2016- 04- 18","4,130","4,150","4,220","4,105","697.96K","0.12%"
"2016- 04- 15","4,125","4,150","4,240","4,060","988.82K","-0.60%"
"2016- 04- 14","4,150","4,350","4,350","4,115","1.60M","-4.16%"
"2016- 04- 13","4,330","4,330","4,330","4,330","5.40K","0.00%"
"2016- 04- 12","4,330","4,530","4,595","4,290","1.93M","-5.46%"
"2016- 04- 11","4,580","4,750","4,865","4,450","3.80M","-0.43%"
"2016- 04- 10","4,600","4,600","4,600","4,600","","0.00%"
"2016- 04- 08","4,600","3,850","4,900","3,850","10.19M","20.73%"
"2016- 04- 07","3,810","3,750","3,885","3,725","908.75K","2.97%"
"2016- 04- 06","3,700","3,625","3,700","3,565","192.47K","2.07%"
"2016- 04- 05","3,625","3,605","3,630","3,590","81.75K","0.42%"
"2016- 04- 04","3,610","3,675","3,675","3,590","200.06K","-0.82%"
"2016- 04- 01","3,640","3,660","3,680","3,620","98.19K","0.00%"
"2016- 03- 31","3,640","3,630","3,675","3,600","157.62K","0.69%"
"2016- 03- 30","3,615","3,595","3,645","3,585","149.86K","0.56%"
"2016- 03- 29","3,595","3,595","3,625","3,560","73.73K","0.28%"
"2016- 03- 28","3,585","3,610","3,610","3,535","63.27K","0.28%"
"2016- 03- 25","3,575","3,505","3,595","3,500","74.64K","2.00%"
"2016- 03- 24","3,505","3,555","3,575","3,495","59.05K","-1.41%"
"2016- 03- 23","3,555","3,565","3,605","3,475","145.96K","0.85%"
"2016- 03- 22","3,525","3,550","3,595","3,495","140.16K","-0.70%"
"2016- 03- 21","3,550","3,540","3,585","3,455","123.17K","0.85%"
"2016- 03- 18","3,520","3,580","3,585","3,520","113.14K","-2.22%"
"2016- 03- 17","3,600","3,615","3,640","3,560","147.07K","-0.69%"
"2016- 03- 16","3,625","3,695","3,695","3,615","70.84K","-0.68%"
"2016- 03- 15","3,650","3,630","3,755","3,600","101.93K","0.69%"
"2016- 03- 14","3,625","3,600","3,705","3,585","138.63K","0.69%"
"2016- 03- 11","3,600","3,610","3,630","3,550","95.95K","-0.28%"
"2016- 03- 10","3,610","3,600","3,700","3,590","279.67K","0.84%"
"2016- 03- 09","3,580","3,510","3,590","3,505","65.16K","1.13%"
"2016- 03- 08","3,540","3,520","3,565","3,500","42.30K","-0.28%"
"2016- 03- 07","3,550","3,515","3,575","3,515","50.96K","0.42%"
"2016- 03- 04","3,535","3,515","3,550","3,495","58.21K","0.71%"
"2016- 03- 03","3,510","3,480","3,510","3,435","49.98K","0.29%"
"2016- 03- 02","3,500","3,460","3,505","3,450","24.12K","1.30%"
"2016- 02- 29","3,455","3,480","3,480","3,400","52.81K","-0.72%"
"2016- 02- 26","3,480","3,485","3,505","3,425","25.27K","-0.14%"
"2016- 02- 25","3,485","3,490","3,550","3,420","56.36K","0.58%"
"2016- 02- 24","3,465","3,400","3,500","3,390","54.42K","0.43%"
"2016- 02- 23","3,450","3,490","3,490","3,415","44.24K","0.15%"
"2016- 02- 22","3,445","3,345","3,455","3,335","102.08K","3.30%"
"2016- 02- 19","3,335","3,250","3,335","3,250","75.24K","2.62%"
"2016- 02- 18","3,250","3,285","3,290","3,220","59.74K","0.00%"
"2016- 02- 17","3,250","3,290","3,310","3,220","80.02K","-1.81%"
"2016- 02- 16","3,310","3,255","3,330","3,250","54.63K","1.85%"
"2016- 02- 15","3,250","3,250","3,300","3,225","45.12K","0.00%"
"2016- 02- 12","3,250","3,300","3,365","3,150","179.92K","-1.52%"
"2016- 02- 11","3,300","3,295","3,365","3,280","91.12K","-1.93%"
"2016- 02- 05","3,365","3,325","3,365","3,300","41.89K","2.12%"
"2016- 02- 04","3,295","3,295","3,365","3,285","68.92K","-0.30%"
"2016- 02- 03","3,305","3,410","3,410","3,300","84.15K","-2.79%"
"2016- 02- 02","3,400","3,395","3,430","3,335","44.43K","-0.44%"
"2016- 02- 01","3,415","3,415","3,435","3,395","67.03K","0.59%"
