"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015- 07- 01","71,600","72,300","72,400","69,700","5.60K","0.28%"
"2015- 06- 30","71,400","71,400","72,000","69,000","4.99K","0.00%"
"2015- 06- 29","71,400","68,500","72,400","67,300","7.71K","0.28%"
"2015- 06- 28","71,200","71,200","71,200","71,200","","0.00%"
"2015- 06- 26","71,200","73,500","73,500","70,400","9.06K","-2.86%"
"2015- 06- 25","73,300","75,700","76,000","71,600","12.48K","-3.17%"
"2015- 06- 24","75,700","78,000","78,000","73,500","9.22K","-1.43%"
"2015- 06- 23","76,800","77,900","80,100","72,200","17.89K","-2.78%"
"2015- 06- 22","79,000","69,200","79,800","69,000","45.79K","14.16%"
"2015- 06- 21","69,200","69,200","69,200","69,200","0.19K","0.00%"
"2015- 06- 19","69,200","64,300","72,700","64,200","29.74K","7.62%"
"2015- 06- 18","64,300","63,800","66,100","61,500","8.75K","2.88%"
"2015- 06- 17","62,500","63,100","63,100","60,500","5.54K","0.64%"
"2015- 06- 16","62,100","65,200","65,200","60,500","8.35K","-2.97%"
"2015- 06- 15","64,000","64,500","66,200","62,200","9.03K","-0.47%"
"2015- 06- 14","64,300","64,300","64,300","64,300","0.05K","0.00%"
"2015- 06- 12","64,300","64,000","67,000","62,900","14.19K","1.26%"
"2015- 06- 11","63,500","65,800","66,400","63,000","6.52K","-2.31%"
"2015- 06- 10","65,000","69,800","69,800","62,100","14.66K","-3.56%"
"2015- 06- 09","67,400","62,400","70,000","61,500","41.98K","10.49%"
"2015- 06- 08","61,000","60,000","61,800","59,200","9.04K","1.67%"
"2015- 06- 05","60,000","61,900","62,500","59,100","9.81K","-3.07%"
"2015- 06- 04","61,900","61,200","62,000","60,500","7.95K","0.65%"
"2015- 06- 03","61,500","60,500","63,500","58,500","16.77K","0.49%"
"2015- 06- 02","61,200","64,300","65,200","58,900","14.97K","-2.55%"
"2015- 06- 01","62,800","64,100","64,900","60,500","8.99K","-4.12%"
"2015- 05- 29","65,500","64,700","68,400","63,900","14.79K","0.46%"
"2015- 05- 28","65,200","66,000","66,900","63,000","16.50K","1.09%"
"2015- 05- 27","64,500","69,900","70,400","62,500","22.65K","-7.73%"
"2015- 05- 26","69,900","71,600","73,400","68,000","17.46K","-3.85%"
"2015- 05- 25","72,700","72,700","72,700","72,700","0.00K","0.00%"
"2015- 05- 22","72,700","77,400","80,000","71,800","24.41K","-5.58%"
"2015- 05- 21","77,000","74,700","82,800","74,700","35.84K","4.05%"
"2015- 05- 20","74,000","72,100","78,500","69,300","34.93K","4.37%"
"2015- 05- 19","70,900","73,000","74,800","66,600","48.81K","0.14%"
"2015- 05- 18","70,800","81,500","83,000","70,800","43.39K","-13.02%"
"2015- 05- 17","81,400","81,400","81,400","81,400","","0.00%"
"2015- 05- 15","81,400","81,400","92,900","76,800","67.59K","0.00%"
"2015- 05- 14","81,400","78,000","81,400","73,000","45.11K","14.97%"
"2015- 05- 13","70,800","63,000","70,800","63,000","29.29K","14.94%"
"2015- 05- 12","61,600","59,000","61,600","54,500","57.33K","14.93%"
"2015- 05- 11","53,600","50,700","53,600","50,700","10.83K","14.90%"
"2015- 05- 08","46,650","47,900","47,900","46,050","0.59K","-0.21%"
"2015- 05- 07","46,750","46,150","47,800","45,250","1.27K","1.19%"
"2015- 05- 06","46,200","45,300","46,500","44,700","1.00K","1.87%"
"2015- 05- 04","45,350","47,300","47,650","44,950","2.73K","-4.12%"
"2015- 04- 30","47,300","47,950","47,950","45,600","3.35K","0.32%"
"2015- 04- 29","47,150","48,000","48,000","46,450","0.91K","-1.67%"
"2015- 04- 28","47,950","48,100","48,950","47,150","1.78K","0.63%"
"2015- 04- 27","47,650","46,500","50,000","46,150","1.87K","2.47%"
"2015- 04- 24","46,500","47,600","48,000","45,650","3.45K","-2.41%"
"2015- 04- 23","47,650","48,300","48,400","46,500","1.98K","-0.63%"
"2015- 04- 22","47,950","50,400","50,400","45,350","4.47K","-4.48%"
"2015- 04- 21","50,200","50,400","50,400","49,000","1.68K","0.40%"
"2015- 04- 20","50,000","48,800","51,500","48,800","1.74K","-0.79%"
"2015- 04- 17","50,400","48,050","50,400","48,050","3.52K","3.07%"
"2015- 04- 16","48,900","50,000","50,700","48,000","4.91K","-2.20%"
"2015- 04- 15","50,000","49,950","50,000","48,300","5.04K","1.11%"
"2015- 04- 14","49,450","52,000","52,000","48,800","4.66K","-4.17%"
"2015- 04- 13","51,600","49,100","56,000","49,100","8.83K","4.03%"
"2015- 04- 10","49,600","49,000","51,500","48,300","11.58K","4.42%"
"2015- 04- 09","47,500","47,050","47,500","46,000","3.73K","1.93%"
"2015- 04- 08","46,600","46,600","46,950","45,800","3.46K","0.00%"
"2015- 04- 07","46,600","46,300","47,300","45,700","3.81K","1.30%"
"2015- 04- 06","46,000","47,550","47,850","45,750","3.56K","-2.44%"
"2015- 04- 03","47,150","46,950","47,200","45,000","9.55K","1.73%"
"2015- 04- 02","46,350","49,100","50,300","46,300","11.74K","-4.73%"
